Time,Nedbør (12 t),Lufttemperatur,Middelvind,Vindretning,Temperature,Humidity,Temperature inlet
2023-05-11 06:00:00,0.0,0.0,,,19.52,46.36,23.8
2023-05-11 06:00:00,0.0,2.5,4.1,279,19.52,46.36,23.8
2023-05-11 07:00:00,0.0,2.2,2.7,283,20.285,44.455,23.8
2023-05-11 07:00:00,0.0,-0.1,,,20.285,44.455,23.8
2023-05-11 08:00:00,0.0,0.0,,,21.106,42.228,23.8
2023-05-11 08:00:00,0.0,2.1,7.4,245,21.106,42.228,23.8
2023-05-11 09:00:00,0.0,-0.3,,,20.288,44.717,23.8
2023-05-11 09:00:00,0.0,1.5,1.5,283,20.288,44.717,23.8
2023-05-11 10:00:00,0.0,0.1,,,19.726,45.489,23.8
2023-05-11 10:00:00,0.0,2.1,6.0,230,19.726,45.489,23.8
2023-05-11 11:00:00,0.0,0.0,,,19.733,45.459,23.8
2023-05-11 11:00:00,0.0,1.6,3.1,294,19.733,45.459,23.8
2023-05-11 12:00:00,5.5,-0.1,,,19.374,47.44,23.8
2023-05-11 12:00:00,0.0,1.7,0.8,244,19.374,47.44,23.8
2023-05-11 13:00:00,0.0,0.9,,,20.472,46.166,23.8
2023-05-11 13:00:00,0.0,3.1,4.1,261,20.472,46.166,23.8
2023-05-11 14:00:00,0.0,3.6,1.8,252,20.882,45.423,23.8
2023-05-11 14:00:00,0.0,1.7,,,20.882,45.423,23.8
2023-05-11 15:00:00,0.0,2.7,,,21.434,45.429,23.8
2023-05-11 15:00:00,0.0,5.3,2.8,212,21.434,45.429,23.8
2023-05-11 16:00:00,0.0,3.3,,,21.735,44.306,23.8
2023-05-11 16:00:00,0.0,5.2,6.6,265,21.735,44.306,23.8
2023-05-11 17:00:00,0.0,2.3,,,21.423,44.687,23.8
2023-05-11 17:00:00,0.0,4.1,3.7,246,21.423,44.687,23.8
2023-05-11 18:00:00,0.0,2.1,,,21.153,45.043,23.8
2023-05-11 18:00:00,0.0,3.4,4.2,275,21.153,45.043,23.8
2023-05-11 19:00:00,0.0,3.1,,,22.723,41.709,23.8
2023-05-11 19:00:00,0.0,5.2,6.3,274,22.723,41.709,23.8
2023-05-11 20:00:00,0.0,2.6,,,21.083,43.385,23.8
2023-05-11 20:00:00,0.0,5.5,6.8,249,21.083,43.385,23.8
2023-05-11 21:00:00,0.0,4.4,7.1,253,21.008,42.031,23.8
2023-05-11 21:00:00,0.0,1.7,,,21.008,42.031,23.8
2023-05-11 22:00:00,0.0,4.0,5.3,251,21.298,42.35,23.8
2023-05-11 22:00:00,0.0,2.2,,,21.298,42.35,23.8
2023-05-11 23:00:00,0.0,2.3,,,21.196,42.76,23.8
2023-05-11 23:00:00,0.0,4.6,7.7,259,21.196,42.76,23.8
2023-05-12 00:00:00,0.0,4.1,7.2,229,21.055,42.93,23.8
2023-05-12 00:00:00,1.6,1.8,,,21.055,42.93,23.8
2023-05-12 01:00:00,0.0,2.8,7.1,239,20.957,43.852,23.8
2023-05-12 01:00:00,0.0,0.3,,,20.957,43.852,23.8
2023-05-12 02:00:00,0.0,0.3,,,20.757,44.076,23.8
2023-05-12 02:00:00,0.0,2.5,6.9,240,20.757,44.076,23.8
2023-05-12 03:00:00,0.0,0.1,,,20.648,43.446,23.8
2023-05-12 03:00:00,0.0,2.4,6.7,244,20.648,43.446,23.8
2023-05-12 04:00:00,0.0,3.0,6.9,233,21.065,41.745,23.8
2023-05-12 04:00:00,0.0,0.2,,,21.065,41.745,23.8
2023-05-12 05:00:00,0.0,3.7,6.3,232,20.494,43.636,23.8
2023-05-12 05:00:00,0.0,0.5,,,20.494,43.636,23.8
2023-05-12 06:00:00,0.0,3.9,6.6,244,20.248,44.826,23.8
2023-05-12 06:00:00,0.0,0.9,,,20.248,44.826,23.8
2023-05-12 07:00:00,0.0,3.7,4.6,271,19.952,45.308,23.8
2023-05-12 07:00:00,0.0,1.1,,,19.952,45.308,23.8
2023-05-12 08:00:00,0.0,2.6,4.0,284,20.054,46.163,23.8
2023-05-12 08:00:00,0.0,0.4,,,20.054,46.163,23.8
2023-05-12 09:00:00,0.0,4.3,3.5,274,20.496,45.347,23.8
2023-05-12 09:00:00,0.0,1.7,,,20.496,45.347,23.8
2023-05-12 10:00:00,0.0,4.0,4.7,270,21.783,43.467,23.8
2023-05-12 10:00:00,0.0,1.9,,,21.783,43.467,23.8
2023-05-12 11:00:00,0.0,2.7,,,21.882,44.035,23.8
2023-05-12 11:00:00,0.0,5.0,3.5,310,21.882,44.035,23.8
2023-05-12 12:00:00,0.0,3.9,2.2,308,21.777,44.115,23.8
2023-05-12 12:00:00,12.4,3.0,,,21.777,44.115,23.8
2023-05-12 13:00:00,0.0,6.6,6.2,258,22.583,43.358,23.8
2023-05-12 13:00:00,0.0,3.5,,,22.583,43.358,23.8
2023-05-12 14:00:00,0.0,4.1,,,23.304,41.825,23.8
2023-05-12 14:00:00,0.0,7.2,5.0,271,23.304,41.825,23.8
2023-05-12 15:00:00,0.0,5.3,,,23.283,41.032,23.8
2023-05-12 15:00:00,0.0,7.7,4.6,281,23.283,41.032,23.8
2023-05-12 16:00:00,0.0,5.4,,,23.221,40.61,23.8
2023-05-12 16:00:00,0.0,7.8,3.7,289,23.221,40.61,23.8
2023-05-12 17:00:00,0.0,7.0,5.2,253,23.178,41.217,23.8
2023-05-12 17:00:00,0.0,5.0,,,23.178,41.217,23.8
2023-05-12 18:00:00,0.0,5.5,,,23.004,41.223,23.8
2023-05-12 18:00:00,0.0,8.7,6.7,258,23.004,41.223,23.8
