datostøpt,cast error,Nedbør (12 t),Lufttemperatur,Temperature,Humidity,Temperature inlet,Dew Point,Temperature_3h_avg,Humidity_3h_avg,Temperature_inlet_3h_avg,Dew_Point_3h_avg,Temperature_12h_avg,Humidity_12h_avg,Temperature_inlet_12h_avg,Dew_Point_12h_avg,absolute_humidity,absolute_humidity_3h_avg,dew_point_diff,dew_point_3h_diff,temp_humidity,temp_12h_humidity,temp_inlet_humidity,temp_inlet_12h_humidity
2024-04-18 23:00:00,False,0.0,-1.1,18.7,27.5,18.0,4.199999999999999,18.933333333333323,26.5,18.0,4.2333333333333325,18.741666666666667,25.53333333333333,19.116666666666667,3.8483333333333327,0.09100758396533046,0.08661742938672125,-14.5,-14.69999999999999,514.25,515.3958333333334,495.0,525.7083333333334
2024-04-18 23:00:00,False,0.0,-1.1,18.7,27.5,18.0,4.199999999999999,18.933333333333323,26.5,18.0,4.2333333333333325,18.741666666666667,25.53333333333333,19.116666666666667,3.8483333333333327,0.09100758396533046,0.08661742938672125,-14.5,-14.69999999999999,514.25,515.3958333333334,495.0,525.7083333333334
2024-04-18 23:00:00,False,0.0,-1.1,18.7,27.5,18.0,4.199999999999999,18.933333333333323,26.5,18.0,4.2333333333333325,18.741666666666667,25.53333333333333,19.116666666666667,3.8483333333333327,0.09100758396533046,0.08661742938672125,-14.5,-14.69999999999999,514.25,515.3958333333334,495.0,525.7083333333334
2024-04-18 23:00:00,False,0.0,-1.1,18.7,27.5,18.0,4.199999999999999,18.933333333333323,26.5,18.0,4.2333333333333325,18.741666666666667,25.53333333333333,19.116666666666667,3.8483333333333327,0.09100758396533046,0.08661742938672125,-14.5,-14.69999999999999,514.25,515.3958333333334,495.0,525.7083333333334
2024-04-18 23:00:00,False,0.0,-1.1,18.7,27.5,18.0,4.199999999999999,18.933333333333323,26.5,18.0,4.2333333333333325,18.741666666666667,25.53333333333333,19.116666666666667,3.8483333333333327,0.09100758396533046,0.08661742938672125,-14.5,-14.69999999999999,514.25,515.3958333333334,495.0,525.7083333333334
2024-04-18 13:00:00,False,0.0,8.6,19.4,23.5,18.5,4.099999999999998,19.69999999999999,24.66666666666666,19.466666666666665,4.633333333333331,18.991666666666664,29.291666666666668,18.366666666666667,4.8500000000000005,0.07496397895700932,0.07748733714273146,-15.3,-15.066666666666658,455.9,446.3041666666666,434.75,431.6166666666667
2024-04-18 13:00:00,False,0.0,8.6,19.4,23.5,18.5,4.099999999999998,19.69999999999999,24.66666666666666,19.466666666666665,4.633333333333331,18.991666666666664,29.291666666666668,18.366666666666667,4.8500000000000005,0.07496397895700932,0.07748733714273146,-15.3,-15.066666666666658,455.9,446.3041666666666,434.75,431.6166666666667
2024-04-18 13:00:00,False,0.0,8.6,19.4,23.5,18.5,4.099999999999998,19.69999999999999,24.66666666666666,19.466666666666665,4.633333333333331,18.991666666666664,29.291666666666668,18.366666666666667,4.8500000000000005,0.07496397895700932,0.07748733714273146,-15.3,-15.066666666666658,455.9,446.3041666666666,434.75,431.6166666666667
2024-04-18 13:00:00,False,0.0,8.6,19.4,23.5,18.5,4.099999999999998,19.69999999999999,24.66666666666666,19.466666666666665,4.633333333333331,18.991666666666664,29.291666666666668,18.366666666666667,4.8500000000000005,0.07496397895700932,0.07748733714273146,-15.3,-15.066666666666658,455.9,446.3041666666666,434.75,431.6166666666667
2024-04-18 13:00:00,False,0.0,8.6,19.4,23.5,18.5,4.099999999999998,19.69999999999999,24.66666666666666,19.466666666666665,4.633333333333331,18.991666666666664,29.291666666666668,18.366666666666667,4.8500000000000005,0.07496397895700932,0.07748733714273146,-15.3,-15.066666666666658,455.9,446.3041666666666,434.75,431.6166666666667
2024-04-17 23:00:00,False,0.0,-0.8,20.3,31.2,18.0,6.540000000000001,19.83333333333332,31.033333333333328,18.0,6.039999999999999,19.391666666666666,30.25833333333333,18.058333333333334,5.443333333333334,0.0951141330743079,0.09683206933911163,-13.76,-13.793333333333322,633.36,605.02,561.6,563.42
2024-04-17 23:00:00,False,0.0,-0.8,20.3,31.2,18.0,6.540000000000001,19.83333333333332,31.033333333333328,18.0,6.039999999999999,19.391666666666666,30.25833333333333,18.058333333333334,5.443333333333334,0.0951141330743079,0.09683206933911163,-13.76,-13.793333333333322,633.36,605.02,561.6,563.42
2024-04-17 23:00:00,False,0.0,-0.8,20.3,31.2,18.0,6.540000000000001,19.83333333333332,31.033333333333328,18.0,6.039999999999999,19.391666666666666,30.25833333333333,18.058333333333334,5.443333333333334,0.0951141330743079,0.09683206933911163,-13.76,-13.793333333333322,633.36,605.02,561.6,563.42
2024-04-17 19:00:00,False,0.0,5.7,18.2,31.2,18.0,4.44,18.59999999999999,30.99999999999999,18.0,4.799999999999999,18.775,30.433333333333334,18.28333333333333,4.861666666666667,0.10608884073672807,0.10314192849404118,-13.759999999999998,-13.799999999999992,567.8399999999999,585.78,561.6,570.4399999999999
2024-04-17 19:00:00,False,0.0,5.7,18.2,31.2,18.0,4.44,18.59999999999999,30.99999999999999,18.0,4.799999999999999,18.775,30.433333333333334,18.28333333333333,4.861666666666667,0.10608884073672807,0.10314192849404118,-13.759999999999998,-13.799999999999992,567.8399999999999,585.78,561.6,570.4399999999999
2024-04-17 19:00:00,False,0.0,5.7,18.2,31.2,18.0,4.44,18.59999999999999,30.99999999999999,18.0,4.799999999999999,18.775,30.433333333333334,18.28333333333333,4.861666666666667,0.10608884073672807,0.10314192849404118,-13.759999999999998,-13.799999999999992,567.8399999999999,585.78,561.6,570.4399999999999
